stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
A--11217,A--11217,033A08,,4.625105782737020000,-74.169145689243500000,0,,0
A--11218,A--11218,164B08,,4.622759782668420000,-74.167127688196600000,0,,0
A--11219,A--11219,034B08,,4.622794782670620000,-74.166862521394900000,0,,0
A--11220,A--11220,032B08,,4.625617449414130000,-74.169103355885000000,0,,0
A--11223,A--11223,080A08 ,,4.633916949642560000,-74.182141695858500000,0,,0
A--11224,A--11224,082A08,,4.631630449596910000,-74.187836365353800000,0,,0
A--11225,A--11225,084B08,,4.630256449567160000,-74.191459533796900000,0,,0
A--11226,A--11226,277A09,,4.629109116214670000,-74.195789202571100000,0,,0
A--11227,A--11227,276A09,,4.629007616211020000,-74.195965202659900000,0,,0
A--11228,A--11228,031A09,,4.629512782880070000,-74.193042367902500000,0,,0
A--11229,A--11229,579A08,,4.631586616260310000,-74.187712698625800000,0,,0
A--11230,A--11230,083B08,,4.633547949630720000,-74.182867696214600000,0,,0
A--11231,A--11231,079B08,,4.634785616320360000,-74.179132861007500000,0,,0
A--11232,A--11232,053A08,,4.635599449669040000,-74.176200692859800000,0,,0
A--11233,A--11233,540A08,,4.629501595650930000,-74.177720631702200000,0,,0
A--11234,A--11234,098A08,,4.630966782896190000,-74.180322694937000000,0,,0
A--11236,A--11236,DESALIM,,4.631104485402920000,-74.146507827159600000,0,,0
A--11237,A--11237,ALIM1,,4.631066153566480000,-74.146189185978700000,0,,0
A--11238,A--11238,ALIM2,,4.631052715187640000,-74.145989408453300000,0,,0
A--11239,A--11239,ALIM3,,4.631029533644340000,-74.145791266331900000,0,,0
A--11240,A--11240,559A08,,4.628110449431760000,-74.145197843189000000,0,,0
A--11241,A--11241,257A08,,4.624703047684200000,-74.145915029916500000,0,,0
A--11242,A--11242,123B08,,4.621750282601910000,-74.143898009143300000,0,,0
A--11243,A--11243,185A08,,4.619386949204660000,-74.142560508403300000,0,,0
A--11244,A--11244,184B08,,4.618872282539610000,-74.145485843340600000,0,,0
A--11245,A--11245,496A08,,4.618439615868210000,-74.149392178795800000,0,,0
A--11246,A--11246,483A08,,4.620970282586620000,-74.147481177762900000,0,,0
A--11247,A--11247,560A08 ,,4.624975782687780000,-74.147148510921800000,0,,0
A--11248,A--11248,198A08,,4.626129616056120000,-74.147159677588200000,0,,0
A--11249,A--11249,107A08,,4.623583949325380000,-74.149513845533100000,0,,0
A--11250,A--11250,199B08,,4.621638782614190000,-74.151263346475400000,0,,0
A--11251,A--11251,170A08,,4.618162449194930000,-74.153029847419600000,0,,0
A--11252,A--11252,400A09,,4.614345282437060000,-74.153029847421000000,0,,0
A--11253,A--11253,397A09,,4.614537949118250000,-74.156695682710100000,0,,0
A--11254,A--11254,516A09,,4.614839115796810000,-74.159204684039500000,0,,0
